file,nodes_expanded,reached_goal,best_path_len,start_yx,goal_yx,end_x,end_y,runtime_sec,history_mode,euclid_start_goal,goal_radius_min,goal_radius_max
map_data_97.npz,1,0,1,"(13, 5)","(13, 5)",5.0,13.0,24.75112095199438,full,3.0,0.0,5.0
map_data_98.npz,31,0,9,"(7, 47)","(6, 43)",45.431827545166016,6.6180100440979,29.30917747700005,none,3.605551275463989,0.0,5.0
map_data_98.npz,1,0,1,"(7, 47)","(4, 43)",47.0,7.0,24.94211385899689,full,3.0,0.0,5.0
map_data_99.npz,1,0,1,"(3, 44)","(7, 41)",44.0,3.0,25.17382333400019,full,3.0,0.0,5.0
map_data_99.npz,120,0,1,"(3, 44)","(3, 44)",44.0,3.0,29.49516472500181,none,3.605551275463989,0.0,5.0
map_data_100.npz,1,0,1,"(17, 7)","(17, 5)",7.0,17.0,24.758177315001376,full,3.0,0.0,5.0
map_data_100.npz,1,0,1,"(17, 7)","(13, 9)",7.0,17.0,28.78366945599919,none,3.605551275463989,0.0,5.0
map_data_103.npz,2,1,9,"(8, 8)","(6, 7)",7.290600776672363,6.618909358978272,0.0574421220007934,none,3.605551275463989,0.0,5.0
map_data_103.npz,2,1,9,"(8, 8)","(6, 7)",7.283722400665283,6.597691059112549,0.0484473699980299,full,3.0,0.0,5.0
map_data_104.npz,27,0,9,"(29, 17)","(30, 13)",15.452781677246094,29.411039352416992,28.890983317000064,none,3.605551275463989,0.0,5.0
map_data_104.npz,4,1,17,"(29, 17)","(29, 13)",13.907538414001465,28.993221282958984,0.1476246070014895,full,3.0,0.0,5.0
map_data_105.npz,1,0,1,"(3, 3)","(5, 1)",3.0,3.0,29.16049824699803,none,3.605551275463989,0.0,5.0
map_data_105.npz,34,0,9,"(3, 3)","(3, 7)",4.608927249908447,3.0025131702423096,24.777835471999424,full,3.0,0.0,5.0
map_data_106.npz,1,0,1,"(25, 4)","(21, 2)",4.0,25.0,24.49241733099916,full,3.0,0.0,5.0
map_data_106.npz,1,0,1,"(25, 4)","(27, 6)",4.0,25.0,29.57358772799853,none,3.605551275463989,0.0,5.0
map_data_107.npz,1,0,1,"(1, 14)","(5, 14)",14.0,1.0,24.693149135004205,full,3.0,0.0,5.0
